"appid","itemdefid","Timestamp","modified","date_created","type","display_type","name","price","quantity","description","background_color","icon_url","icon_url_large","name_color","store_tags","tradable","marketable","commodity","workshopid","key"
"365960","1","23.09.2020 13:12:20","20200923T131220Z","20200923T131220Z","item","","McLaren 650S GT3","1;EUR499","0","The McLaren 650S GT3 is a GT3-class car with a 495 horsepower 3.8 litre twin turbo V8 engine.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/1537373727951614625/E2CBC31354082C1A36844EA33BC3FA03A1B0C706/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/1537373727951614625/E2CBC31354082C1A36844EA33BC3FA03A1B0C706/","00c3ef","cars","False","False","False","1097229192","lO6tdvEzFPmGXEEl"
"365960","2","23.09.2020 13:18:30","20200923T131830Z","20200923T131830Z","item","","Bentley Continental GT3","1;EUR499","0","The Bentley Continental GT3 is a large-bodied lightweight GT3-class car with a 600 horsepower 4.0 litre twin turbo engine.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/1537373727951825915/CCB897224CD312039D35D521AAC26EB7551CF02D/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/1537373727951825915/CCB897224CD312039D35D521AAC26EB7551CF02D/","00c3ef","cars","False","False","False","1097230662","YJov0JPbOFDhYwvW"
"365960","3","23.09.2020 13:20:25","20200923T132025Z","20200923T132025Z","item","","Callaway Corvette C7 GT3-R","1;EUR499","0","The Callaway Corvette C7 GT3-R is a GT3-class car with a 600 horsepower 6.1 litre V8 engine.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/1537373727951618366/7DAF32E30312B9360D8285C6BD8677113AB5DA4F/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/1537373727951618366/7DAF32E30312B9360D8285C6BD8677113AB5DA4F/","00c3ef","cars","False","False","False","1097232188","nDX10iAfYYLBGUT8"
"365960","4","23.09.2020 13:21:27","20200923T132127Z","20200923T132127Z","item","","Mercedes AMG GT3","1;EUR499","0","The Mercedes AMG GT3 is a GT3-class car with a 550 horsepower 6.3 litre naturally aspirated V8 engine.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/1537373727951611473/04BE9209DC773830D4DFA10AC252CF08C0D3BDB3/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/1537373727951611473/04BE9209DC773830D4DFA10AC252CF08C0D3BDB3/","00c3ef","cars","False","False","False","1097232656","nqN8EUDMyLpF98Nq"
"365960","5","23.09.2020 13:22:47","20200923T132247Z","20200923T132247Z","item","","Radical RXC Turbo GT3","1;EUR499","0","The Radical RXC Turbo GT3 is a stiff and light open-cockpit GT3-class car with a 500 horsepower Ford Ecoboost V6 3.5 litre twin turbo engine.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/1537373727951607334/DBE390BC70F0827EF25E7D3C4CDC71C9D672783C/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/1537373727951607334/DBE390BC70F0827EF25E7D3C4CDC71C9D672783C/","00c3ef","cars","False","False","False","1097232726","2hNojOlNttaJCu4p"
"365960","6","30.11.2017 16:57:16","20171130T165716Z","20171130T165716Z","item","","Formula E 2018 Car","1;EUR499","0","Experience the Official 2018 Formula E car, using regen and power modes and featuring the 2018 Formula E team liveries.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/862866169562791195/45186ECDE071FF66740708A306870604C4F3C584/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/862866169562791195/45186ECDE071FF66740708A306870604C4F3C584/","00c3ef","cars","False","False","False","1214555461","a6s6yVJAWHyR7bz3"
"365960","7","30.11.2017 16:57:12","20171130T165712Z","20171130T165712Z","item","","Hong Kong E-Prix Track","1;EUR799","0","Welcome to the Official 2017 HKT Hong Kong E-Prix track. Based around the Central Harbourfront, the tight and twisty 1.86km track provides a huge challenge against the backdrop of Hong Kong's iconic sights.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/862866169562812889/9715BD3896B01F2A2D731DF0755CED062A58BBF7/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/862866169562812889/9715BD3896B01F2A2D731DF0755CED062A58BBF7/","00c3ef","tracks","False","False","False","1214556324","F2ZICnHvURBwDocn"
"365960","8","29.03.2018 11:30:42","20180329T113042Z","20180329T113042Z","item","","KartSim Rental Kart","1;EUR399","0","The Rental Kart from KartSim.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/914668728135605764/855CB010CB7E8E0766A39284DA23F1F9B8154E21/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/914668728135605764/855CB010CB7E8E0766A39284DA23F1F9B8154E21/","00c3ef","cars","False","False","False","1344542862","mR5DyOTTjralcG1q"
"365960","9","29.03.2018 11:30:58","20180329T113058Z","20180329T113058Z","item","","KartSim X30 Kart","1;EUR399","0","The Iame Senior X30 Kart from KartSim.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/914668728135608786/D2E4C9F10996F720BDD86DD15FCCDB44AD3F067B/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/914668728135608786/D2E4C9F10996F720BDD86DD15FCCDB44AD3F067B/","00c3ef","cars","False","False","False","1344546612","ggGLDrLRQiefSCDB"
"365960","10","29.03.2018 11:31:11","20180329T113111Z","20180329T113111Z","item","","KartSim Buckmore Park International Circuit","1;EUR699","0","The Buckmore Park International Circuit from KartSim.","fbfbfb","https://steamuserimages-a.akamaihd.net/ugc/914668728135611660/C8F3F5C4316C0A2016963F67CC8C1DBC510434C7/?interpolation=lanczos-none&output-format=jpeg&output-quality=95&fit=inside%7C358%3A358&composite-to=*,*%7C358%3A358&background-color=black","https://steamuserimages-a.akamaihd.net/ugc/914668728135611660/C8F3F5C4316C0A2016963F67CC8C1DBC510434C7/","00c3ef","tracks","False","False","False","1344546674","WGOGMubQBHd3cTDP"
